wl	n
0.2066	1.12386321154
0.21089508319	1.17801439258
0.215279458439	1.23367933667
0.219754982075	1.29071345409
0.224323549012	1.34896021451
0.228987093564	1.40825373065
0.233747590255	1.46842142939
0.238607054657	1.52928671786
0.243567544248	1.59067156231
0.248631159276	1.65239890976
0.253800043655	1.71429489735
0.259076385867	1.77619080859
0.264462419893	1.83792475052
0.269960426156	1.89934303919
0.275572732488	1.96030129237
0.281301715116	2.02066523855
0.287149799665	2.08031125897
0.293119462189	2.13912668518
0.299213230217	2.19700987865
0.305433683824	2.253870121
0.311783456723	2.30962734441
0.318265237381	2.36421173103
0.324881770154	2.41756320908
0.331635856454	2.46963087125
0.338530355932	2.52037233842
0.345568187689	2.56975308916
0.352752331512	2.61774577251
0.360085829136	2.66432951875
0.367571785533	2.70948926041
0.375213370223	2.7532150729
0.383013818621	2.79550154238
0.390976433402	2.83634716616
0.399104585903	2.8757537894
0.407401717548	2.91372608049
0.415871341306	2.95027104608
0.42451704318	2.98539758609
0.433342483722	3.01911608805
0.442351399584	3.05143805967
0.451547605104	3.08237579812
0.460934993913	3.11194209417
0.470517540592	3.14014996929
0.480299302349	3.16701244369
0.49028442074	3.19254233318
0.50047712342	3.2167520729
0.510881725935	3.23965356618
0.521502633549	3.26125805655
0.532344343107	3.28157602144
0.543411444943	3.30061708615
0.554708624818	3.31838995673
0.56624066591	3.33490237078
0.578012450835	3.35016106527
0.590028963715	3.36417176048
0.602295292289	3.37693915984
0.614816630068	3.38846696496
0.627598278532	3.39875790583
0.640645649374	3.40781378607
0.653964266795	3.41563554326
0.667559769839	3.42222332468
0.681437914784	3.42757657864
0.695604577575	3.43169416192
0.710065756315	3.43457446382
0.724827573806	3.43621554726
0.739896280135	3.43661530768
0.755278255329	3.43577165009
0.770980012047	3.43368268485
0.787008198346	3.43034694254
0.803369600489	3.42576360802
0.820071145824	3.41993277351
0.837119905712	3.41285571042
0.854523098523	3.4045351587
0.872288092693	3.39497563254
0.890422409845	3.38418374002
0.908933727968	3.3721685139
0.927829884674	3.35894174974
0.947118880514	3.34451834652
0.966808882365	3.328916644
0.986908226887	3.31215874993
1.00742542406	3.29427084917
1.02836916076	3.27528348597
1.0497483045	3.25523180972
1.07157190709	3.234155774
1.09384920857	3.2121002787
1.11658964103	3.1891152452
1.13980283269	3.1652556153
1.16349861191	3.14058126617
1.18768701137	3.11515683544
1.21237827235	3.08905145326
1.237582849	3.0623383811
1.26331141285	3.0350945608
1.28957485725	3.00740008075
1.31638430203	2.97933756994
1.34375109819	2.95099153396
1.37168683271	2.92244764978
1.40020333347	2.89379203825
1.42931267422	2.86511053444
1.45902717974	2.83648797589
1.48935943101	2.80800752815
1.52032227059	2.77975006473
1.55192880799	2.75179361624
1.58419242529	2.72421289986
1.61712678277	2.69707893686
1.65074582469	2.67045876195
1.6850637852	2.64441522482
1.72009519439	2.61900688102
1.75585488439	2.59428796644
1.7923579957	2.57030844778
1.82961998359	2.5471141398
1.86765662461	2.52474687929
1.90648402331	2.50324474548
1.94611861905	2.48264231673
1.98657719294	2.46297095385
2.02787687497	2.44425910131
2.07003515123	2.42653259861
2.11306987137	2.40981499503
2.15699925609	2.39412786227
2.2018419049	2.37949110054
2.24761680399	2.36592323453
2.29434333425	2.35344169684
2.34204127949	2.342063097
2.39073083481	2.33180347512
2.44043261516	2.32267853974
2.49116766405	2.31470388959
2.54295746248	2.30789521998
2.59582393804	2.30226851407
2.64978947414	2.29784022014
2.70487691958	2.29462741553
2.76110959812	2.29264795854
2.81851131845	2.29192062922
2.8771063842	2.29246526014
2.93691960427	2.29430285829
2.99797630331	2.29745571911
3.06030233246	2.30194753363
3.1239240803	2.30780348971
3.188868484	2.31505036822
3.25516304072	2.32371663497
3.32283581931	2.33383252922
3.39191547211	2.34543014939
3.46243124716	2.35854353656
3.53441300053	2.37320875654
3.60789120897	2.38946398075
3.68289698284	2.40734956663
3.75946207926	2.42690813781
3.83761891556	2.44818466459
3.91740058299	2.47122654493
3.99884086078	2.49608368634
4.08197423038	2.5228085889
4.1668358901	2.55145642961
4.25346176999	2.58208514844
4.34188854708	2.61475553602
4.43215366088	2.64953132336
4.52429532923	2.6864792735
4.61835256454	2.72566927547
4.71436519021	2.76717444043
4.81237385758	2.81107120009
4.91242006309	2.85743940764
5.01454616587	2.90636244096
5.11879540566	2.95792730833
5.22521192114	3.01222475654
5.3338407686	3.06934938136
5.44472794102	3.12939974039
5.55792038754	3.19247846818
5.67346603336	3.25869239354
5.79141379999	3.32815265898
5.91181362602	3.40097484203
6.0347164882	3.47727907846
6.16017442306	3.55719018705
6.28824054896	3.64083779588
6.41896908852	3.72835646974
6.55241539166	3.81988583855
6.68863595894	3.91557072637
6.82768846557	4.01556128083
6.96963178576	4.12001310246
7.11452601772	4.22908737368
7.26243250901	4.34295098693
7.41341388261	4.46177667152
7.56753406337	4.5857431187
7.72485830511	4.71503510433
7.88545321822	4.8498436087
8.04938679789	4.99036593273
8.21672845289	5.13680580995
8.38754903495	5.28937351346
8.56192086874	5.44828595722
8.73991778256	5.61376679063
8.92161513952	5.78604648576
9.10708986948	5.96536241611
9.29642050165	6.15195892599
9.48968719778	6.34608738951
9.68697178616	6.54800625802
9.88835779621	6.75798109492
10.0939304939	6.97628459668
10.3037769178	7.2031965987
10.517985916	7.43900406496
10.7366481837	7.68400105993
10.9598563014	7.93848870156
11.1877047746	8.20277509385
11.4202900733	8.47717523776
11.6577106731	8.76201091884
11.9000670968	9.05761057041
12.1474619572	9.36430911068
12.4	9.68244775255

wl	k
